,precision,recall,f1-score,support
billete,0.984375,0.9402985074626866,0.9618320610687023,67.0
knife,0.9558823529411765,0.9701492537313433,0.9629629629629629,67.0
monedero,0.9692307692307692,0.9402985074626866,0.9545454545454546,67.0
pistol,0.8904109589041096,0.9701492537313433,0.9285714285714286,67.0
smartphone,0.9696969696969697,0.9552238805970149,0.9624060150375939,67.0
tarjeta,0.9848484848484849,0.9701492537313433,0.9774436090225563,67.0
accuracy,0.9577114427860697,0.9577114427860697,0.9577114427860697,0.9577114427860697
macro avg,0.9590740892702515,0.9577114427860697,0.9579602552014497,402.0
weighted avg,0.9590740892702517,0.9577114427860697,0.9579602552014499,402.0
