fpr,tpr,threshold
0.0,0.0,inf
0.0,0.007462686567164179,1.0
0.0,0.03731343283582089,0.9999998807907104
0.0,0.06716417910447761,0.9999998211860657
0.0,0.09701492537313433,0.9999995827674866
0.0,0.11940298507462686,0.9999995231628418
0.0,0.13432835820895522,0.9999992847442627
0.0,0.14925373134328357,0.9999991059303284
0.0,0.16417910447761194,0.9999990463256836
0.0,0.1791044776119403,0.9999983310699463
0.0,0.19402985074626866,0.9999982714653015
0.0,0.917910447761194,0.9989550709724426
0.0037313432835820895,0.917910447761194,0.9985817670822144
0.0037313432835820895,0.9328358208955224,0.9983237981796265
0.007462686567164179,0.9328358208955224,0.9981657862663269
0.007462686567164179,0.9626865671641791,0.9968022108078003
0.011194029850746268,0.9626865671641791,0.9933674335479736
0.011194029850746268,0.9925373134328358,0.9584227204322815
0.014925373134328358,0.9925373134328358,0.9147726893424988
0.014925373134328358,1.0,0.38350823521614075
1.0,1.0,9.38404423611594e-11
